#1
double InnerLoads(336, 5)
0	0	0	0	0
3540	0	0	0	0
3600	0	0	0	0
7140	0	0	0	0
7200	0	0	0	0
10740	0	0	0	0
10800	0	0	0	0
14340	0	0	0	0
14400	0	0	0	0
17940	0	0	0	0
18000	0	0	0	0
21540	0	0	0	0
21600	0	0	0	0.3
25140	0	0	0	0.3
25200	0.67	1	0	0.3
28740	0.67	1	0	0.3
28800	0.67	1	0	0.3
32340	0.67	1	0	0.3
32400	0.67	1	0	0.3
35940	0.67	1	0	0.3
36000	0.67	1	0	0.3
39540	0.67	1	0	0.3
39600	0.67	1	0	0
43140	0.67	1	0	0
43200	0.67	1	0	0.3
46740	0.67	1	0	0.3
46800	0.67	1	0	0.3
50340	0.67	1	0	0.3
50400	1	1	0	0.3
53940	1	1	0	0.3
54000	1	1	0	0.3
57540	1	1	0	0.3
57600	0.67	1	1	0.3
61140	0.67	1	1	0.3
61200	0.67	1	1	0
64740	0.67	1	1	0
64800	0	0	0	0
68340	0	0	0	0
68400	0	0	0	0
71940	0	0	0	0
72000	0	0	0	0
75540	0	0	0	0
75600	0	0	0	0
79140	0	0	0	0
79200	0	0	0	0
82740	0	0	0	0
82800	0	0	0	0
86340	0	0	0	0
86400	0	0	0	0
89940	0	0	0	0
90000	0	0	0	0
93540	0	0	0	0
93600	0	0	0	0
97140	0	0	0	0
97200	0	0	0	0
100740	0	0	0	0
100800	0	0	0	0
104340	0	0	0	0
104400	0	0	0	0
107940	0	0	0	0
108000	0	0	0	0
111540	0	0	0	0.3
111600	0	0	0	0.3
115140	0.67	1	0	0.3
115200	0.67	1	0	0.3
118740	0.67	1	0	0.3
118800	0.67	1	0	0.3
122340	0.67	1	0	0.3
122400	0.67	1	0	0.3
125940	0.67	1	0	0.3
126000	0.67	1	0	0.3
129540	0.67	1	0	0
129600	0.67	1	0	0
133140	0.67	1	0	0.3
133200	0.67	1	0	0.3
136740	0.67	1	0	0.3
136800	0.67	1	0	0.3
